barrio,año,trimestre,precio_prom,ambientes,estado,comuna
CHACARITA,2010,2,,2 ambientes,Usado,15
CHACARITA,2010,3,1826,2 ambientes,Usado,15
CHACARITA,2010,4,1718,2 ambientes,Usado,15
CHACARITA,2011,1,1789,2 ambientes,Usado,15
CHACARITA,2011,2,,2 ambientes,Usado,15
CHACARITA,2011,3,,2 ambientes,Usado,15
CHACARITA,2011,4,,2 ambientes,Usado,15
CHACARITA,2012,1,,2 ambientes,Usado,15
CHACARITA,2012,2,,2 ambientes,Usado,15
CHACARITA,2012,3,,2 ambientes,Usado,15
CHACARITA,2012,4,,2 ambientes,Usado,15
CHACARITA,2013,1,,2 ambientes,Usado,15
CHACARITA,2013,2,,2 ambientes,Usado,15
CHACARITA,2013,3,,2 ambientes,Usado,15
CHACARITA,2013,4,,2 ambientes,Usado,15
CHACARITA,2014,1,,2 ambientes,Usado,15
CHACARITA,2014,2,,2 ambientes,Usado,15
CHACARITA,2014,3,,2 ambientes,Usado,15
CHACARITA,2014,4,2232,2 ambientes,Usado,15
CHACARITA,2015,1,2227,2 ambientes,Usado,15
CHACARITA,2015,2,2186,2 ambientes,Usado,15
CHACARITA,2015,3,2184,2 ambientes,Usado,15
CHACARITA,2015,4,2241,2 ambientes,Usado,15
CHACARITA,2016,1,2351,2 ambientes,Usado,15
CHACARITA,2016,2,2397,2 ambientes,Usado,15
CHACARITA,2016,3,2298,2 ambientes,Usado,15
CHACARITA,2016,4,2315,2 ambientes,Usado,15
CHACARITA,2017,1,2511,2 ambientes,Usado,15
CHACARITA,2017,2,2517,2 ambientes,Usado,15
CHACARITA,2017,3,2606,2 ambientes,Usado,15
CHACARITA,2017,4,2614,2 ambientes,Usado,15
CHACARITA,2018,1,2833,2 ambientes,Usado,15
CHACARITA,2018,2,2701,2 ambientes,Usado,15
CHACARITA,2018,3,2773,2 ambientes,Usado,15
CHACARITA,2018,4,2809,2 ambientes,Usado,15
CHACARITA,2019,1,2860,2 ambientes,Usado,15
CHACARITA,2019,2,,2 ambientes,Usado,15
COGHLAN,2010,1,,2 ambientes,Usado,12
COGHLAN,2010,2,,2 ambientes,Usado,12
