barrio,anio,mes,precio_prom,ambientes,comuna
BELGRANO,2015,Mar,6813,3 ambientes,13
BELGRANO,2015,Abr,6403,3 ambientes,13
BELGRANO,2015,May,7915,3 ambientes,13
BELGRANO,2015,Jun,7601,3 ambientes,13
BELGRANO,2015,Jul,8394,3 ambientes,13
BELGRANO,2015,Ago,7372,3 ambientes,13
BELGRANO,2015,Sep,NA,3 ambientes,13
BELGRANO,2015,Oct,8099,3 ambientes,13
BELGRANO,2015,Nov,8021,3 ambientes,13
BELGRANO,2015,Dic,NA,3 ambientes,13
BELGRANO,2016,Ene,NA,3 ambientes,13
BELGRANO,2016,Feb,NA,3 ambientes,13
BELGRANO,2016,Mar,10456,3 ambientes,13
BELGRANO,2016,Abr,9948,3 ambientes,13
BELGRANO,2016,May,10266,3 ambientes,13
BELGRANO,2016,Jun,11021,3 ambientes,13
BELGRANO,2016,Jul,10853,3 ambientes,13
BELGRANO,2016,Ago,11680,3 ambientes,13
BELGRANO,2016,Sep,11413,3 ambientes,13
BELGRANO,2016,Oct,12051,3 ambientes,13
BELGRANO,2016,Nov,11090,3 ambientes,13
BELGRANO,2016,Dic,11604,3 ambientes,13
BELGRANO,2017,Ene,12757,3 ambientes,13
BELGRANO,2017,Feb,13135,3 ambientes,13
BELGRANO,2017,Mar,12939,3 ambientes,13
BELGRANO,2017,Abr,13581,3 ambientes,13
BELGRANO,2017,May,14026,3 ambientes,13
BELGRANO,2017,Jun,14694,3 ambientes,13
BELGRANO,2017,Jul,14323,3 ambientes,13
BELGRANO,2017,Ago,15374,3 ambientes,13
BELGRANO,2017,Sep,15108,3 ambientes,13
BELGRANO,2017,Oct,15298,3 ambientes,13
BELGRANO,2017,Nov,16210,3 ambientes,13
BELGRANO,2017,Dic,17440,3 ambientes,13
BELGRANO,2018,Ene,17399,3 ambientes,13
BELGRANO,2018,Feb,18406,3 ambientes,13
BELGRANO,2018,Mar,17575,3 ambientes,13
BELGRANO,2018,Abr,18239,3 ambientes,13
BELGRANO,2018,May,19546,3 ambientes,13
BELGRANO,2018,Jun,17348,3 ambientes,13
BELGRANO,2018,Jul,18985,3 ambientes,13
BELGRANO,2018,Ago,19430,3 ambientes,13
BELGRANO,2018,Sep,21166,3 ambientes,13
BELGRANO,2018,Oct,19640,3 ambientes,13
BELGRANO,2018,Nov,20124,3 ambientes,13
BELGRANO,2018,Dic,21082,3 ambientes,13
BELGRANO,2019,Ene,23230,3 ambientes,13
BELGRANO,2019,Feb,22167,3 ambientes,13
BELGRANO,2019,Mar,23552,3 ambientes,13
BELGRANO,2019,Abr,21632,3 ambientes,13
BELGRANO,2019,May,23768,3 ambientes,13
BELGRANO,2019,Jun,23509,3 ambientes,13
BELGRANO,2019,Jul,25017,3 ambientes,13
BELGRANO,2019,Ago,26634,3 ambientes,13
BOCA,2013,Jul,NA,3 ambientes,4
BOCA,2013,Ago,NA,3 ambientes,4
BOCA,2013,Sep,NA,3 ambientes,4
BOCA,2013,Oct,NA,3 ambientes,4
BOCA,2013,Nov,NA,3 ambientes,4
BOCA,2013,Dic,NA,3 ambientes,4
BOCA,2014,Ene,NA,3 ambientes,4
BOCA,2014,Feb,NA,3 ambientes,4
BOCA,2014,Mar,NA,3 ambientes,4
BOCA,2014,Abr,NA,3 ambientes,4
BOCA,2014,May,NA,3 ambientes,4
BOCA,2014,Jun,NA,3 ambientes,4
BOCA,2014,Jul,NA,3 ambientes,4
BOCA,2014,Ago,NA,3 ambientes,4
BOCA,2014,Sep,NA,3 ambientes,4
BOCA,2014,Oct,NA,3 ambientes,4
BOCA,2014,Nov,NA,3 ambientes,4
BOCA,2014,Dic,NA,3 ambientes,4
BOCA,2015,Ene,NA,3 ambientes,4
BOCA,2015,Feb,NA,3 ambientes,4
BOCA,2015,Mar,NA,3 ambientes,4
BOCA,2015,Abr,NA,3 ambientes,4
BOCA,2015,May,NA,3 ambientes,4
BOCA,2015,Jun,NA,3 ambientes,4
BOCA,2015,Jul,NA,3 ambientes,4
BOCA,2015,Ago,NA,3 ambientes,4
BOCA,2015,Sep,NA,3 ambientes,4
BOCA,2015,Oct,NA,3 ambientes,4
BOCA,2015,Nov,NA,3 ambientes,4
BOCA,2015,Dic,NA,3 ambientes,4
BOCA,2016,Ene,NA,3 ambientes,4
BOCA,2016,Feb,NA,3 ambientes,4
BOCA,2016,Mar,NA,3 ambientes,4
BOCA,2016,Abr,NA,3 ambientes,4
BOCA,2016,May,NA,3 ambientes,4
BOCA,2016,Jun,NA,3 ambientes,4
BOCA,2016,Jul,NA,3 ambientes,4
BOCA,2016,Ago,NA,3 ambientes,4
BOCA,2016,Sep,NA,3 ambientes,4
BOCA,2016,Oct,NA,3 ambientes,4
BOCA,2016,Nov,NA,3 ambientes,4
BOCA,2016,Dic,NA,3 ambientes,4
BOCA,2017,Ene,NA,3 ambientes,4
BOCA,2017,Feb,NA,3 ambientes,4
BOCA,2017,Mar,NA,3 ambientes,4
BOCA,2017,Abr,NA,3 ambientes,4
BOCA,2017,May,NA,3 ambientes,4
BOCA,2017,Jun,NA,3 ambientes,4
BOCA,2017,Jul,NA,3 ambientes,4
BOCA,2017,Ago,NA,3 ambientes,4
BOCA,2017,Sep,NA,3 ambientes,4
BOCA,2017,Oct,NA,3 ambientes,4
BOCA,2017,Nov,NA,3 ambientes,4
BOCA,2017,Dic,NA,3 ambientes,4
BOCA,2018,Ene,NA,3 ambientes,4
BOCA,2018,Feb,NA,3 ambientes,4
BOCA,2018,Mar,NA,3 ambientes,4
BOCA,2018,Abr,NA,3 ambientes,4
BOCA,2018,May,NA,3 ambientes,4
BOCA,2018,Jun,NA,3 ambientes,4
BOCA,2018,Jul,NA,3 ambientes,4
BOCA,2018,Ago,NA,3 ambientes,4
BOCA,2018,Sep,NA,3 ambientes,4
BOCA,2018,Oct,NA,3 ambientes,4
BOCA,2018,Nov,NA,3 ambientes,4
BOCA,2018,Dic,NA,3 ambientes,4
BOCA,2019,Ene,NA,3 ambientes,4
BOCA,2019,Feb,NA,3 ambientes,4
BOCA,2019,Mar,NA,3 ambientes,4
BOCA,2019,Abr,NA,3 ambientes,4
BOCA,2019,May,NA,3 ambientes,4
BOCA,2019,Jun,NA,3 ambientes,4
BOCA,2019,Jul,NA,3 ambientes,4
BOCA,2019,Ago,NA,3 ambientes,4
BOEDO,2013,Jul,NA,3 ambientes,5
BOEDO,2013,Ago,NA,3 ambientes,5
BOEDO,2013,Sep,NA,3 ambientes,5
BOEDO,2013,Oct,NA,3 ambientes,5
BOEDO,2013,Nov,NA,3 ambientes,5
BOEDO,2013,Dic,NA,3 ambientes,5
BOEDO,2014,Ene,NA,3 ambientes,5
BOEDO,2014,Feb,NA,3 ambientes,5
BOEDO,2014,Mar,NA,3 ambientes,5
BOEDO,2014,Abr,NA,3 ambientes,5
BOEDO,2014,May,NA,3 ambientes,5
BOEDO,2014,Jun,NA,3 ambientes,5
BOEDO,2014,Jul,NA,3 ambientes,5
BOEDO,2014,Ago,NA,3 ambientes,5
BOEDO,2014,Sep,NA,3 ambientes,5
BOEDO,2014,Oct,NA,3 ambientes,5
BOEDO,2014,Nov,NA,3 ambientes,5
BOEDO,2014,Dic,NA,3 ambientes,5
BOEDO,2015,Ene,NA,3 ambientes,5
BOEDO,2015,Feb,NA,3 ambientes,5
BOEDO,2015,Mar,NA,3 ambientes,5
BOEDO,2015,Abr,NA,3 ambientes,5
BOEDO,2015,May,NA,3 ambientes,5
BOEDO,2015,Jun,NA,3 ambientes,5
BOEDO,2015,Jul,NA,3 ambientes,5
BOEDO,2015,Ago,NA,3 ambientes,5
BOEDO,2015,Sep,NA,3 ambientes,5
BOEDO,2015,Oct,NA,3 ambientes,5
BOEDO,2015,Nov,NA,3 ambientes,5
BOEDO,2015,Dic,NA,3 ambientes,5
BOEDO,2016,Ene,NA,3 ambientes,5
BOEDO,2016,Feb,NA,3 ambientes,5
BOEDO,2016,Mar,NA,3 ambientes,5
BOEDO,2016,Abr,NA,3 ambientes,5
BOEDO,2016,May,NA,3 ambientes,5
BOEDO,2016,Jun,NA,3 ambientes,5
BOEDO,2016,Jul,NA,3 ambientes,5
BOEDO,2016,Ago,NA,3 ambientes,5
BOEDO,2016,Sep,NA,3 ambientes,5
BOEDO,2016,Oct,NA,3 ambientes,5
BOEDO,2016,Nov,NA,3 ambientes,5
BOEDO,2016,Dic,NA,3 ambientes,5
BOEDO,2017,Ene,NA,3 ambientes,5
BOEDO,2017,Feb,NA,3 ambientes,5
BOEDO,2017,Mar,NA,3 ambientes,5
BOEDO,2017,Abr,NA,3 ambientes,5
BOEDO,2017,May,NA,3 ambientes,5
BOEDO,2017,Jun,NA,3 ambientes,5
BOEDO,2017,Jul,NA,3 ambientes,5
BOEDO,2017,Ago,NA,3 ambientes,5
BOEDO,2017,Sep,NA,3 ambientes,5
BOEDO,2017,Oct,NA,3 ambientes,5
BOEDO,2017,Nov,NA,3 ambientes,5
BOEDO,2017,Dic,NA,3 ambientes,5
BOEDO,2018,Ene,NA,3 ambientes,5
BOEDO,2018,Feb,NA,3 ambientes,5
BOEDO,2018,Mar,NA,3 ambientes,5
BOEDO,2018,Abr,NA,3 ambientes,5
BOEDO,2018,May,NA,3 ambientes,5
BOEDO,2018,Jun,NA,3 ambientes,5
BOEDO,2018,Jul,NA,3 ambientes,5
BOEDO,2018,Ago,NA,3 ambientes,5
BOEDO,2018,Sep,NA,3 ambientes,5
BOEDO,2018,Oct,NA,3 ambientes,5
BOEDO,2018,Nov,NA,3 ambientes,5
BOEDO,2018,Dic,NA,3 ambientes,5
BOEDO,2019,Ene,NA,3 ambientes,5
BOEDO,2019,Feb,NA,3 ambientes,5
BOEDO,2019,Mar,NA,3 ambientes,5
BOEDO,2019,Abr,NA,3 ambientes,5
BOEDO,2019,May,NA,3 ambientes,5
BOEDO,2019,Jun,NA,3 ambientes,5
BOEDO,2019,Jul,NA,3 ambientes,5
BOEDO,2019,Ago,NA,3 ambientes,5
CABALLITO,2013,Jul,3772,3 ambientes,6
CABALLITO,2013,Ago,4095,3 ambientes,6
CABALLITO,2013,Sep,4014,3 ambientes,6
CABALLITO,2013,Oct,4323,3 ambientes,6
CABALLITO,2013,Nov,4341,3 ambientes,6
CABALLITO,2013,Dic,4228,3 ambientes,6
CABALLITO,2014,Ene,4339,3 ambientes,6
CABALLITO,2014,Feb,4505,3 ambientes,6
CABALLITO,2014,Mar,4797,3 ambientes,6
CABALLITO,2014,Abr,4931,3 ambientes,6
CABALLITO,2014,May,4510,3 ambientes,6
CABALLITO,2014,Jun,4917,3 ambientes,6
CABALLITO,2014,Jul,5050,3 ambientes,6
CABALLITO,2014,Ago,5604,3 ambientes,6
CABALLITO,2014,Sep,5661,3 ambientes,6
CABALLITO,2014,Oct,4942,3 ambientes,6
CABALLITO,2014,Nov,5823,3 ambientes,6
CABALLITO,2014,Dic,5696,3 ambientes,6
