barrio,año,precio_prom
VILLA ORTUZAR,2010,1407.0
VILLA ORTUZAR,2011,
VILLA ORTUZAR,2012,1809.0
VILLA ORTUZAR,2013,
VILLA ORTUZAR,2014,2040.5
VILLA ORTUZAR,2015,2236.875
VILLA ORTUZAR,2016,2351.714285714286
VILLA ORTUZAR,2017,2531.8571428571427
VILLA ORTUZAR,2018,2995.0
VILLA ORTUZAR,2019,3298.0
VILLA PUEYRREDON,2010,1601.6
VILLA PUEYRREDON,2011,1684.1818181818182
VILLA PUEYRREDON,2012,1945.0
VILLA PUEYRREDON,2013,1928.0
VILLA PUEYRREDON,2014,2090.25
VILLA PUEYRREDON,2015,2062.6
VILLA PUEYRREDON,2016,2232.3
VILLA PUEYRREDON,2017,2355.0
VILLA PUEYRREDON,2018,2624.0
VILLA PUEYRREDON,2019,2842.6666666666665
VILLA REAL,2010,
VILLA REAL,2011,
VILLA REAL,2012,
VILLA REAL,2013,
VILLA REAL,2014,
VILLA REAL,2015,
VILLA REAL,2016,
VILLA REAL,2017,
VILLA REAL,2018,
VILLA REAL,2019,
VILLA RIACHUELO,2010,1142.0
VILLA RIACHUELO,2011,1261.6666666666667
VILLA RIACHUELO,2012,
VILLA RIACHUELO,2013,
VILLA RIACHUELO,2014,
VILLA RIACHUELO,2015,
VILLA RIACHUELO,2016,
VILLA RIACHUELO,2017,
VILLA RIACHUELO,2018,
VILLA RIACHUELO,2019,
VILLA SANTA RITA,2010,1401.0
VILLA SANTA RITA,2011,1624.3333333333333
VILLA SANTA RITA,2012,1854.0
VILLA SANTA RITA,2013,2011.5
VILLA SANTA RITA,2014,2086.75
VILLA SANTA RITA,2015,1873.7142857142858
VILLA SANTA RITA,2016,1949.111111111111
VILLA SANTA RITA,2017,2092.7
VILLA SANTA RITA,2018,2360.875
VILLA SANTA RITA,2019,2461.6666666666665
VILLA SOLDATI,2010,954.0
VILLA SOLDATI,2011,
VILLA SOLDATI,2012,
VILLA SOLDATI,2013,
VILLA SOLDATI,2014,
VILLA SOLDATI,2015,
VILLA SOLDATI,2016,
VILLA SOLDATI,2017,
VILLA SOLDATI,2018,
VILLA SOLDATI,2019,
VILLA URQUIZA,2010,1711.0
VILLA URQUIZA,2011,2022.4375
VILLA URQUIZA,2012,2359.5
VILLA URQUIZA,2013,2403.266666666667
VILLA URQUIZA,2014,2357.5333333333333
VILLA URQUIZA,2015,2403.0
VILLA URQUIZA,2016,2572.625
VILLA URQUIZA,2017,2865.5
VILLA URQUIZA,2018,3285.5
VILLA URQUIZA,2019,3335.875
